Subject,Mode,ScenarioName,UniqueID,ROI,reactionTime,Week,ParticipantID,MatchID,Case,Location,Gender,minHeadwayDist
3210004w1,Experimenter,"Load, Event",1645725515,1,2.019999999999982,1,3210004,0004,Case,OSU,Male,7.320437
3210004w1,Experimenter,"Load, Event",1645725515,3,,1,3210004,0004,Case,OSU,Male,10000.0
3210006w1,Experimenter,"Load, Event",1646082962,3,1.5499999999999545,1,3210006,0006,Case,OSU,Male,10000.0
3210006w1,Experimenter,"Load, Event",1646082962,1,1.75,1,3210006,0006,Case,OSU,Male,14.360365
3210004w1,Experimenter,"No Load, Event",1645726097,1,0.8699999999998909,1,3210004,0004,Case,OSU,Male,10000.0
3210004w1,Experimenter,"No Load, Event",1645726097,3,,1,3210004,0004,Case,OSU,Male,10000.0
3210004w1,Experimenter,"No Load, Event",1645726097,5,0.9100000000003092,1,3210004,0004,Case,OSU,Male,5.957573
3210007w1,Experimenter,"Load, Event",1648583854,1,1.2999999999999545,1,3210007,0007,Case,OSU,Male,15.274356
3210007w1,Experimenter,"Load, Event",1648583854,3,0.9900000000000091,1,3210007,0007,Case,OSU,Male,10000.0
3210006w1,Experimenter,"No Load, Event",1646083504,1,1.5199999999999818,1,3210006,0006,Case,OSU,Male,10000.0
3210006w1,Experimenter,"No Load, Event",1646083504,3,0.9900000000002365,1,3210006,0006,Case,OSU,Male,10000.0
3210006w1,Experimenter,"No Load, Event",1646083504,5,1.8899999999998727,1,3210006,0006,Case,OSU,Male,12.309996
3210008w1,Experimenter,"Load, Event",1650296644,1,1.1099999999999,1,3210008,0008,Case,OSU,Male,20.081758
3210008w1,Experimenter,"Load, Event",1650296644,3,1.400000000000091,1,3210008,0008,Case,OSU,Male,10000.0
3210007w1,Experimenter,"No Load, Event",1648584485,3,0.0,1,3210007,0007,Case,OSU,Male,22.86056
3210007w1,Experimenter,"No Load, Event",1648584485,5,1.0,1,3210007,0007,Case,OSU,Male,16.316215
3210007w1,Experimenter,"No Load, Event",1648584485,1,0.819999999999709,1,3210007,0007,Case,OSU,Male,10000.0
3210008w1,Experimenter,"No Load, Event",1650297284,1,0.75,1,3210008,0008,Case,OSU,Male,10000.0
3210008w1,Experimenter,"No Load, Event",1650297284,3,0.75,1,3210008,0008,Case,OSU,Male,10000.0
3210008w1,Experimenter,"No Load, Event",1650297284,5,1.5499999999997272,1,3210008,0008,Case,OSU,Male,18.310673
3210009w1,Experimenter,"Load, Event",1651004792,1,2.1499999999998636,1,3210009,0009,Case,OSU,Male,13.750955
3210009w1,Experimenter,"Load, Event",1651004792,3,1.2999999999999545,1,3210009,0009,Case,OSU,Male,10000.0
3210010w1,Experimenter,"Load, Event",1663091635,1,1.6800000000000637,1,3210010,0010,Case,OSU,Male,6.667357
3210010w1,Experimenter,"Load, Event",1663091635,3,,1,3210010,0010,Case,OSU,Male,10000.0
3210009w1,Experimenter,"No Load, Event",1651005350,1,1.150000000000091,1,3210009,0009,Case,OSU,Male,10000.0
3210009w1,Experimenter,"No Load, Event",1651005350,3,0.7300000000000182,1,3210009,0009,Case,OSU,Male,10000.0
3210009w1,Experimenter,"No Load, Event",1651005350,5,2.049999999999727,1,3210009,0009,Case,OSU,Male,7.988613
3210012w1,Experimenter,"Load, Event",1663789517,1,2.019999999999982,1,3210012,0012,Case,OSU,Male,11.518762
3210012w1,Experimenter,"Load, Event",1663789517,3,1.5699999999999363,1,3210012,0012,Case,OSU,Male,10000.0
3210010w1,Experimenter,"No Load, Event",1663092151,3,0.8899999999998727,1,3210010,0010,Case,OSU,Male,10000.0
3210010w1,Experimenter,"No Load, Event",1663092151,5,1.6700000000000728,1,3210010,0010,Case,OSU,Male,16.282906
3210010w1,Experimenter,"No Load, Event",1663092151,1,0.8000000000001819,1,3210010,0010,Case,OSU,Male,10000.0
3210013w1,Experimenter,"Load, Event",1664371550,3,1.2000000000000455,1,3210013,0013,Case,OSU,Male,10000.0
3210013w1,Experimenter,"Load, Event",1664371550,1,2.089999999999918,1,3210013,0013,Case,OSU,Male,9.050773
3210013w1,Experimenter,"No Load, Event",1664372079,3,,1,3210013,0013,Case,OSU,Male,10000.0
3210013w1,Experimenter,"No Load, Event",1664372079,1,,1,3210013,0013,Case,OSU,Male,10000.0
3210013w1,Experimenter,"No Load, Event",1664372079,5,1.3299999999999272,1,3210013,0013,Case,OSU,Male,10.184527
3210012w1,Experimenter,"No Load, Event",1663790067,3,0.8800000000001091,1,3210012,0012,Case,OSU,Male,10000.0
3210012w1,Experimenter,"No Load, Event",1663790067,5,1.7200000000002547,1,3210012,0012,Case,OSU,Male,17.290998
3210012w1,Experimenter,"No Load, Event",1663790067,1,0.900000000000091,1,3210012,0012,Case,OSU,Male,10000.0
3210014w1,Experimenter,"Load, Event",1665430739,3,1.7699999999999818,1,3210014,0014,Case,OSU,Male,10000.0
3210014w1,Experimenter,"Load, Event",1665430739,1,2.1000000000001364,1,3210014,0014,Case,OSU,Male,17.673866
3210016w1,Experimenter,"Load, Event",1666222563,1,1.349999999999909,1,3210016,0016,Case,OSU,Male,3.1097
3210016w1,Experimenter,"Load, Event",1666222563,3,,1,3210016,0016,Case,OSU,Male,10000.0
3210014w1,Experimenter,"No Load, Event",1665431368,5,1.7199999999998,1,3210014,0014,Case,OSU,Male,14.264748
3210014w1,Experimenter,"No Load, Event",1665431368,1,0.7300000000000182,1,3210014,0014,Case,OSU,Male,10000.0
3210014w1,Experimenter,"No Load, Event",1665431368,3,,1,3210014,0014,Case,OSU,Male,10000.0
3210016w1,Experimenter,"No Load, Event",1666223082,1,,1,3210016,0016,Case,OSU,Male,10000.0
3210016w1,Experimenter,"No Load, Event",1666223082,5,1.8600000000001273,1,3210016,0016,Case,OSU,Male,12.774289
3210016w1,Experimenter,"No Load, Event",1666223082,3,,1,3210016,0016,Case,OSU,Male,10000.0
3210019w1,Experimenter,"Load, Event",1675808323,3,1.6799999999998363,1,3210019,0019,Case,OSU,Male,10000.0
3210019w1,Experimenter,"Load, Event",1675808323,1,1.699999999999818,1,3210019,0019,Case,OSU,Male,18.538332
3210018w1,Experimenter,"Load, Event",1671042282,3,,1,3210018,0018,Case,OSU,Male,10000.0
3210018w1,Experimenter,"Load, Event",1671042282,1,1.9500000000000455,1,3210018,0018,Case,OSU,Male,7.638496
3210018w1,Experimenter,"No Load, Event",1671042722,3,,1,3210018,0018,Case,OSU,Male,10000.0
3210018w1,Experimenter,"No Load, Event",1671042722,1,,1,3210018,0018,Case,OSU,Male,10000.0
3210018w1,Experimenter,"No Load, Event",1671042722,5,2.099999999999909,1,3210018,0018,Case,OSU,Male,11.104133
3210022w1,Experimenter,"Load, Event",1694465000,1,1.8199999999999363,1,3210022,0022,Case,OSU,Male,16.699191
3210022w1,Experimenter,"Load, Event",1694465000,3,1.599999999999909,1,3210022,0022,Case,OSU,Male,10000.0
3210019w1,Experimenter,"No Load, Event",1675808898,1,1.2200000000002547,1,3210019,0019,Case,OSU,Male,10000.0
3210019w1,Experimenter,"No Load, Event",1675808898,3,1.0799999999999272,1,3210019,0019,Case,OSU,Male,10000.0
3210019w1,Experimenter,"No Load, Event",1675808898,5,1.8200000000001637,1,3210019,0019,Case,OSU,Male,17.037128
3210024w1,Experimenter,"No Load, No Event",1695226760,,,1,3210024,0024,Case,OSU,Male,
3210024w1,Experimenter,"Load, Event",1695228064,1,1.8300000000001546,1,3210024,0024,Case,OSU,Male,14.465199
3210024w1,Experimenter,"Load, Event",1695228064,3,1.4700000000000273,1,3210024,0024,Case,OSU,Male,10000.0
3210022w1,Experimenter,"No Load, Event",1694465654,3,1.2100000000000364,1,3210022,0022,Case,OSU,Male,24.181481
3210022w1,Experimenter,"No Load, Event",1694465654,1,1.2599999999997635,1,3210022,0022,Case,OSU,Male,10000.0
3210022w1,Experimenter,"No Load, Event",1694465654,5,1.7099999999995816,1,3210022,0022,Case,OSU,Male,16.975633
3210025w1,Experimenter,"Load, Event",1697054530,3,1.6399999999998727,1,3210025,0025,Case,OSU,Male,10000.0
3210025w1,Experimenter,"Load, Event",1697054530,1,1.75,1,3210025,0025,Case,OSU,Male,11.732824
3210024w1,Experimenter,"No Load, Event",1695228555,1,0.7799999999999727,1,3210024,0024,Case,OSU,Male,10000.0
3210024w1,Experimenter,"No Load, Event",1695228555,3,0.900000000000091,1,3210024,0024,Case,OSU,Male,10000.0
3210024w1,Experimenter,"No Load, Event",1695228555,5,0.8299999999999272,1,3210024,0024,Case,OSU,Male,6.650262
3210025w1,Experimenter,"No Load, Event",1697055039,1,1.199999999999818,1,3210025,0025,Case,OSU,Male,10000.0
3210025w1,Experimenter,"No Load, Event",1697055039,3,0.9600000000000364,1,3210025,0025,Case,OSU,Male,30.026906
3210025w1,Experimenter,"No Load, Event",1697055039,5,1.4099999999998545,1,3210025,0025,Case,OSU,Male,19.039084
3220003w1,Experimenter,"Load, Event",1645128287,1,1.7169999999999845,1,3220003,0003,Case,OSU,Female,11.107533
3220003w1,Experimenter,"Load, Event",1645128287,3,1.7160000000000082,1,3220003,0003,Case,OSU,Female,10000.0
3220003w1,Experimenter,"No Load, Event",1645128924,1,1.1330000000000382,1,3220003,0003,Case,OSU,Female,10000.0
3220003w1,Experimenter,"No Load, Event",1645128924,3,,1,3220003,0003,Case,OSU,Female,10000.0
3220003w1,Experimenter,"No Load, Event",1645128924,5,1.733000000000061,1,3220003,0003,Case,OSU,Female,11.552944
3220005w1,Experimenter,"Load, Event",1645742186,1,2.0299999999999727,1,3220005,0005,Case,OSU,Female,19.189867
3220005w1,Experimenter,"Load, Event",1645742186,3,1.5299999999999727,1,3220005,0005,Case,OSU,Female,10000.0
3220005w1,Experimenter,"No Load, Event",1645742752,3,,1,3220005,0005,Case,OSU,Female,10000.0
3220005w1,Experimenter,"No Load, Event",1645742752,5,1.9800000000000182,1,3220005,0005,Case,OSU,Female,15.956898
3220005w1,Experimenter,"No Load, Event",1645742752,1,0.7800000000002001,1,3220005,0005,Case,OSU,Female,10000.0
3220011w1,Experimenter,"Load, Event",1663098794,3,1.6300000000001091,1,3220011,0011,Case,OSU,Female,10000.0
3220011w1,Experimenter,"Load, Event",1663098794,1,0.0,1,3220011,0011,Case,OSU,Female,20.082211
3220017w1,Experimenter,"Load, Event",1666888178,1,1.900000000000091,1,3220017,0017,Case,OSU,Female,12.62168
3220017w1,Experimenter,"Load, Event",1666888178,3,1.6499999999998636,1,3220017,0017,Case,OSU,Female,10000.0
3220020w1,Experimenter,"Load, Event",1677704880,3,,1,3220020,0020,Case,OSU,Female,10000.0
3220020w1,Experimenter,"Load, Event",1677704880,1,1.25,1,3220020,0020,Case,OSU,Female,14.716619
3220020w1,Experimenter,"No Load, Event",1677705390,1,,1,3220020,0020,Case,OSU,Female,10000.0
3220020w1,Experimenter,"No Load, Event",1677705390,5,1.6700000000000728,1,3220020,0020,Case,OSU,Female,13.161006
3220020w1,Experimenter,"No Load, Event",1677705390,3,,1,3220020,0020,Case,OSU,Female,10000.0
